puzzle	date	reason	word1	word2	word3	word4
42	July 23rd, 2023	SCUBA GEAR	FINS	 MASK	 SNORKEL	 TANK
42	July 23rd, 2023	PUNCTUATION MARKS	COLON	 COMMA	 HYPHEN	 PERIOD
42	July 23rd, 2023	RUN QUICKLY	BOLT	 DASH	 RACE	 SPRINT
42	July 23rd, 2023	___ CAT	DOJA	 FAT	 HOUSE	 JUNGLE
41	July 22nd, 2023	BOTTLED WATER BRANDS	DASANI	 EVIAN	 FIJI	 VOSS
41	July 22nd, 2023	SLANG FOR COFFEE	BREW	 JAVA	 JOE	 MUD
41	July 22nd, 2023	ISLAND COUNTRIES	CUBA	 JAPAN	 MALTA	 PALAU
41	July 22nd, 2023	CEREAL MASCOTS	LUCKY	 POP	 SAM	 TONY
40	July 21st, 2023	WOODWINDS	BASSOON	 CLARINET	 FLUTE	 OBOE
40	July 21st, 2023	COVERINGS	CAP	 COVER	 LID	 TOP
40	July 21st, 2023	SUNGLASSES	AVIATOR	 CAT EYE	 WAYFARER	 WRAPAROUND
40	July 21st, 2023	SEALS	HARBOR	 HARP	 HOODED	 MONK
39	July 20th, 2023	TIMEKEEPING DEVICES	CLOCK	 HOURGLASS	 SUNDIAL	 WATCH
39	July 20th, 2023	HAIRSTYLES	BOB	 CROP	 PIXIE	 SHAG
39	July 20th, 2023	UNITS OF MEASURE	HERTZ	 MOLE	 NEWTON	 SECOND
39	July 20th, 2023	DR. ___	EVIL	 J	 NO	 PEPPER
38	July 19th, 2023	TREES	ASH	 CEDAR	 MAPLE	 PINE
38	July 19th, 2023	LAND FORMATIONS	HILL	 MOUNTAIN	 PLATEAU	 VALLEY
38	July 19th, 2023	BAGEL FLAVORS	EVERYTHING	 ONION	 PLAIN	 POPPY
38	July 19th, 2023	STREETS ON SCREEN	ELM	 FEAR	 JUMP	 SESAME
37	July 18th, 2023	MARINE MAMMALS	DOLPHIN	 MANATEE	 OTTER	 SEAL
37	July 18th, 2023	BIKE PARTS	BRAKE	 CHAIN	 SADDLE	 SPOKE
37	July 18th, 2023	SYNONYMS FOR SELL	HAWK	 MOVE	 PEDDLE	 VEND
37	July 18th, 2023	COUNTRIES WHEN "A" IS ADDED	CHIN	 CUB	 MALT	 TONG
36	July 17th, 2023	MARSUPIALS	KANGAROO	 KOALA	 WALLABY	 WOMBAT
36	July 17th, 2023	CHOCOLATE BARS	CHUNKY	 CRUNCH	 MARS	 MOUNDS
36	July 17th, 2023	SLANG FOR MONEY	CHEDDAR	 DOUGH	 PAPER	 STACKS
36	July 17th, 2023	NAKED ___	EYE	 GUN	 MOLE RAT	 TRUTH
35	July 16th, 2023	U.S. COINS	DIME	 NICKEL	 PENNY	 QUARTER
35	July 16th, 2023	METAL ELEMENTS	IRON	 LEAD	 TIN	 ZINC
35	July 16th, 2023	LUCKY CHARMS MARSHMALLOWS	CLOVER	 HORSESHOE	 MOON	 RAINBOW
35	July 16th, 2023	___ AND ___	AGAIN	 HALF	 NECK	 SO
34	July 15th, 2023	PLEASANT SMELLS	AROMA	 BOUQUET	 FRAGRANCE	 SCENT
34	July 15th, 2023	MUSIC GENRES	BLUES	 COUNTRY	 FUNK	 SOUL
34	July 15th, 2023	ROCK PAPER SCISSORS	PAPER	 ROCK	 SCISSORS	 SHOOT
34	July 15th, 2023	MALE ANIMALS	BOAR	 BUCK	 BULL	 JACK
33	July 14th, 2023	BOATS	FERRY	 JUNK	 TUG	 YACHT
33	July 14th, 2023	SANDWICHES	CLUB	 CUBAN	 MELT	 SUB
33	July 14th, 2023	CUTS OF BEEF	FLANK	 LOIN	 ROUND	 SHANK
33	July 14th, 2023	NICKNAMES THAT ARE VERBS	CHUCK	 JOSH	 ROB	 SUE
32	July 13th, 2023	SHOE PARTS	HEEL	 LACE	 SOLE	 TONGUE
32	July 13th, 2023	BOARD GAMES	CLUE	 RISK	 SORRY	 TROUBLE
32	July 13th, 2023	FICTIONAL SPIES	BOND	 HUNT	 RYAN	 SMART
32	July 13th, 2023	RUBBER ___	BAND	 CEMENT	 DUCKIE	 SOUL
31	July 12th, 2023	VEGETABLES THAT ARE ALSO FRUITS	CUCUMBER	 EGGPLANT	 PEPPER	 TOMATO
31	July 12th, 2023	3-D SHAPES	CONE	 CUBE	 PYRAMID	 SPHERE
31	July 12th, 2023	WORDS WITH "i"	MAC	 PAD	 PHONE	 POD
31	July 12th, 2023	WORDS WITH TWO PRONUNCIATIONS	JOB	 LIMA	 MOBILE	 POLISH
30	July 11th, 2023	NFL PLAYERS	BRONCO	 COWBOY	 PACKER	 RAVEN
30	July 11th, 2023	PASTA SHAPES	BOWTIE	 ELBOW	 SHELL	 SPIRAL
30	July 11th, 2023	JOINTS	HIP	 KNEE	 SHOULDER	 WRIST
30	July 11th, 2023	MOVIES WITH "!"	AIRPLANE	 MOTHER	 OKLAHOMA	 THEM
29	July 10th, 2023	WINGED INSECTS	FLY	 GNAT	 MOTH	 WASP
29	July 10th, 2023	ARITHMETIC OPERATIONS	ADD	 DIVIDE	 MULTIPLY	 SUBTRACT
29	July 10th, 2023	FISH	TANG	 TETRA	 SKATE	 SOLE
29	July 10th, 2023	___ CAT	ALLEY	 COOL	 COPY	 LAP
28	July 9th, 2023	SEVEN DWARFS	BASHFUL	 DOC	 GRUMPY	 HAPPY
28	July 9th, 2023	FILE EXTENSIONS	GIF	 PDF	 TIFF	 ZIP
28	July 9th, 2023	FLIGHTLESS BIRDS	EMU	 KIWI	 OSTRICH	 PENGUIN
28	July 9th, 2023	TROPICAL FRUITS	BANANA	 COCONUT	 MANGO	 PINEAPPLE
27	July 8th, 2023	HATS	BERET	 BOWLER	 FEDORA	 FEZ
27	July 8th, 2023	ORGANS	HEART	 KIDNEY	 LIVER	 LUNG
27	July 8th, 2023	PARTS OF A BOOK	COVER	 JACKET	 PAGE	 SPINE
27	July 8th, 2023	JACK ___	ASS	 KNIFE	 POT	 RABBIT
26	July 7th, 2023	EUROPEAN COUNTRIES	DENMARK	 GREECE	 POLAND	 PORTUGAL
26	July 7th, 2023	SYNONYMS FOR IMITATE	COPY	 ECHO	 MIMIC	 PARROT
26	July 7th, 2023	TOMS	CRUISE	 HOLLAND	 PETTY	 WAITS
26	July 7th, 2023	WORDS SPELLED WITH ROMAN NUMERALS	DILL	 LIVID	 MILD	 MIX
25	July 6th, 2023	DESSERTS	CHEESECAKE	 FLAN	 MOUSSE	 TIRAMISU
25	July 6th, 2023	MILD OATHS	DARN	 FUDGE	 HECK	 SHOOT
25	July 6th, 2023	ANIMALS WITH TUSKS	ELEPHANT	 HIPPO	 NARWHAL	 WARTHOG
25	July 6th, 2023	MUSTACHES	HANDLEBAR	 HORSESHOE	 PENCIL	 WALRUS
24	July 5th, 2023	CANDY BARS	BOUNTY	 CRUNCH	 HEATH	 MILKY WAY
24	July 5th, 2023	VIDEO GAME CONSOLES	DREAMCAST	 GENESIS	 SWITCH	 WII
24	July 5th, 2023	EAR PARTS	ANVIL	 COCHLEA	 HAMMER	 STIRRUP
24	July 5th, 2023	BAND NAMES MINUS NUMBERS	BLINK	 MAROON	 SUM	 U
23	July 4th, 2023	60's BAND MEMBERS	BEACH BOY	 BEATLE	 BYRD	 MONKEE
23	July 4th, 2023	DANCE FADS	DOUGIE	 MACARENA	 MASHED POTATO	 TWIST
23	July 4th, 2023	MAGAZINES	FORTUNE	 ROLLING STONE	 VOGUE	 WIRED
23	July 4th, 2023	THINGS WITH LINKS	CHAIN	 GOLF COURSE	 SAUSAGE	 WEBSITE
22	July 3rd, 2023	DOG BREEDS	BOXER	 DALMATIAN	 HUSKY	 POODLE
22	July 3rd, 2023	ANIMAL NOSES	BEAK	 MUZZLE	 SNOUT	 TRUNK
22	July 3rd, 2023	TRAFFIC SIGNS	DETOUR	 SLOW	 STOP	 YIELD
22	July 3rd, 2023	SOUND ___	ASLEEP	 BARRIER	 BITE	 WAVE
21	July 2nd, 2023	MUSIC GENRES	JAZZ	 POP	 PUNK	 RAP
21	July 2nd, 2023	WEB BROWSERS	CHROME	 EDGE	 OPERA	 SAFARI
21	July 2nd, 2023	"LITTLE WOMEN" SISTERS	AMY	 BETH	 JO	 MEG
21	July 2nd, 2023	LIL ___ RAPPERS	BABY	 JON	 KIM	 WAYNE
20	July 1st, 2023	GRAINS	BARLEY	 OAT	 RYE	 SPELT
20	July 1st, 2023	ROYAL TITLES	BARON	 EARL	 KING	 PRINCE
20	July 1st, 2023	UNIVERSITIES	BROWN	 DUKE	 HOWARD	 RICE
20	July 1st, 2023	BEST DIRECTOR OSCAR WINNERS	BONG	 FORD	 LEE	 STONE
19	June 30th, 2023	OFF-WHITE SHADES	CREAM	 EGGSHELL	 IVORY	 VANILLA
19	June 30th, 2023	ANTI-VAMPIRE	CRUCIFIX	 GARLIC	 MIRROR	 STAKE
19	June 30th, 2023	KINDS OF MEAT	BEEF	 PORK	 POULTRY	 VENISON
19	June 30th, 2023	SYNONYMS FOR ARGUMENT	ROW	 QUARREL	 SPAT	 TIFF
18	June 29th, 2023	MUSCLES, INFORMALLY	LAT	 PEC	 QUAD	 TRI
18	June 29th, 2023	AWARDS	CUP	 MEDAL	 RIBBON	 TROPHY
18	June 29th, 2023	TITLE TV DOCTORS	GREY	 HOUSE	 HOWSER	 QUINN
18	June 29th, 2023	NFL PLAYERS	BEAR	 BILL	 BROWN	 COMMANDER
17	June 28th, 2023	NECKWEAR	ASCOT	 BOLO	 SCARF	 TIE
17	June 28th, 2023	SHIP DIRECTIONS	BOW	 PORT	 STARBOARD	 STERN
17	June 28th, 2023	DETERGENTS	ALL	 ERA	 GAIN	 TIDE
17	June 28th, 2023	___ TRIANGLE	ACUTE	 BERMUDA	 LOVE	 RIGHT
16	June 27th, 2023	COFFEE DRINKS	AMERICANO	 CAPPUCCINO	 ESPRESSO	 LATTE
16	June 27th, 2023	TREE NUTS	ALMOND	 CASHEW	 PECAN	 WALNUT
16	June 27th, 2023	SHADES OF GREEN	EMERALD	 FOREST	 KELLY	 OLIVE
16	June 27th, 2023	MR. ___	BEAN	 CLEAN	 FOX	 PEANUT
15	June 26th, 2023	BIRD SOUNDS	CAW	 CHIRP	 CLUCK	 TWEET
15	June 26th, 2023	COLORS	BROWN	 PINK	 TURQUOISE	 VIOLET
15	June 26th, 2023	FISHING GEAR	LURE	 REEL	 ROD	 TACKLE
15	June 26th, 2023	FICTIONAL PIRATES	HOOK	 JONES	 SILVER	 SPARROW
14	June 25th, 2023	BEDS	BUNK	 CANOPY	 MURPHY	 TRUNDLE
14	June 25th, 2023	FAMOUS BROTHERS	JONAS	 MARX	 WARNER	 WRIGHT
14	June 25th, 2023	HONDAS	ACCORD	 CIVIC	 PASSPORT	 PILOT
14	June 25th, 2023	VIDEO GAME CHARACTERS	CRASH	 LINK	 MARIO	 SONIC
13	June 24th, 2023	AIRLINES	FRONTIER	 SPIRIT	 UNITED	 VIRGIN
13	June 24th, 2023	GREEK LETTERS	BETA	 CHI	 DELTA	 IOTA
13	June 24th, 2023	SILENT "G"	GNAT	 GNAW	 GNOCCHI	 GNOME
13	June 24th, 2023	HOMOPHONES	GNU	 KNEW	 NEW	 NU
12	June 23rd, 2023	ANIMAL GROUP NAMES	FLOCK	 PACK	 POD	 SCHOOL
12	June 23rd, 2023	DEADLY SINS	ENVY	 GREED	 LUST	 PRIDE
12	June 23rd, 2023	SLOW ANIMALS	LORIS	 SLOTH	 SNAIL	 TORTOISE
12	June 23rd, 2023	TRIG FUNCTIONS	COT	 SEC	 SIN	 TAN
11	June 22nd, 2023	SPICES BEGINNING WITH "C"	CARDAMOM	 CLOVE	 CORIANDER	 CUMIN
11	June 22nd, 2023	TERMS OF ENDEARMENT	BOO	 HONEY	 SUGAR	 SWEETIE
11	June 22nd, 2023	THINGS WITH WINGS	AIRPLANE	 ANGEL	 BIRD	 PEGASUS
11	June 22nd, 2023	SPICE GIRLS	BABY	 GINGER	 POSH	 SCARY
10	June 21st, 2023	FRUIT	DATE	 KIWI	 LEMON	 ORANGE
10	June 21st, 2023	COUNTRIES	CHAD	 GEORGIA	 JORDAN	 TOGO
10	June 21st, 2023	BIRDS	CRANE	 JAY	 SWALLOW	 TURKEY
10	June 21st, 2023	ZODIAC SYMBOLS	FISH	 GOAT	 SCALES	 TWINS
9	June 20th, 2023	SPORTS	CRICKET	 FENCING	 POLO	 SQUASH
9	June 20th, 2023	TOPS	CAMI	 HALTER	 TANK	 TEE
9	June 20th, 2023	VEGETABLES	BEET	 CARROT	 CORN	 ONION
9	June 20th, 2023	INSECTS	ANT	 BEETLE	 MANTIS	 TERMITE
8	June 19th, 2023	BOARD GAMES	BACKGAMMON	 CHECKERS	 CHESS	 GO
8	June 19th, 2023	MATTRESS SIZES	FULL	 KING	 QUEEN	 TWIN
8	June 19th, 2023	THINGS THAT ARE RED	CHERRY	 FIRE TRUCK	 RUBY	 STOP SIGN
8	June 19th, 2023	THINGS WITH KEYS	CRYPTOGRAPHY	 FLORIDA	 LOCKSMITH	 PIANO
7	June 18th, 2023	LEG PARTS	ANKLE	 KNEE	 SHIN	 THIGH
7	June 18th, 2023	BABY ANIMALS	CALF	 CUB	 JOEY	 KID
7	June 18th, 2023	SLANG FOR TOILET	CAN	 HEAD	 JOHN	 THRONE
7	June 18th, 2023	___ FISH THAT AREN'T FISH	CRAY	 JELLY	 SILVER	 STAR
6	June 17th, 2023	MONOPOLY SQUARES	BOARDWALK	 CHANCE	 GO	 JAIL
6	June 17th, 2023	SHADES OF BLUE	BABY	 MIDNIGHT	 POWDER	 ROYAL
6	June 17th, 2023	RAPPERS	COMMON	 FUTURE	 ICE CUBE	 Q
6	June 17th, 2023	MEMBERS OF A SEPTET	SEA	 SIN	 SISTER	 WONDER
5	June 16th, 2023	STREAMING SERVICES	HULU	 NETFLIX	 PEACOCK	 PRIME
5	June 16th, 2023	CONDIMENTS	KETCHUP	 MAYO	 RELISH	 TARTAR
5	June 16th, 2023	SYNONYMS FOR SAD	BLUE	 DOWN	 GLUM	 LOW
5	June 16th, 2023	CLUE CHARACTERS	GREEN	 MUSTARD	 PLUM	 SCARLET
4	June 15th, 2023	SNEAKER BRANDS	ADIDAS	 NIKE	 PUMA	 REEBOK
4	June 15th, 2023	MUSICALS BEGINNING WITH "C"	CABARET	 CAROUSEL	 CATS	 CHICAGO
4	June 15th, 2023	CLEANING VERBS	DUST	 MOP	 SWEEP	 VACUUM
4	June 15th, 2023	___ MAN SUPERHEROES	BAT	 IRON	 SPIDER	 SUPER
3	June 14th, 2023	FACIAL FEATURES	CHEEK	 EYE	 MOUTH	 NOSE
3	June 14th, 2023	SYNONYMS FOR EAT	CHOW	 GOBBLE	 SCARF	 WOLF
3	June 14th, 2023	DOG BREEDS, INFORMALLY	LAB	 PEKE	 PIT	 POM
3	June 14th, 2023	MEMBERS OF A TRIO	AMIGO	 KING	 STOOGE	 TENOR
2	June 13th, 2023	FOOTWEAR	BOOT	 LOAFER	 PUMP	 SNEAKER
2	June 13th, 2023	UNITS OF LENGTH	FOOT	 LEAGUE	 MILE	 YARD
2	June 13th, 2023	MAGAZINES	ESSENCE	 PEOPLE	 TIME	 US
2	June 13th, 2023	LETTER HOMOPHONES	ARE	 QUEUE	 SEA	 WHY
1	June 12th, 2023	WET WEATHER	HAIL	 RAIN	 SLEET	 SNOW
1	June 12th, 2023	NBA TEAMS	BUCKS	 HEAT	 JAZZ	 NETS
1	June 12th, 2023	KEYBOARD KEYS	OPTION	 RETURN	 SHIFT	 TAB
1	June 12th, 2023	PALINDROMES	KAYAK	 LEVEL	 MOM	 RACE CAR
